Name,ID-LB,ARS,Eligibility Requirements,Legal Basis
Bildungspaket - Leistungen für Bildung und Teilhabe beantragen,L100022.LB.1963,080000000000,"Die Familie erhält: 
  
Bürgergeld
Sozialhilfe (Hilfe zum Lebensunterhalt, Grundsicherung im Alter oder bei Erwerbsminderung)
Kinderzuschlag
Wohngeld
Asylbewerberleistungen (Anspruch kann bestehen)


Darüber hinaus kann ein Anspruch entstehen, wenn Eltern zwar keine der genannten Sozialleistungen beziehen, jedoch die spezifischen Bildungs- und Teilhabebedarfe des Kindes nicht decken können (Fälle sogenannter Bedarfsauslösung).

Kind ist unter 25 Jahre alt (gilt nicht für Anspruchsberechtigte nach dem SGB XII)Ausnahme: Bei Teilnahme an Sport-, Freizeit- und Kulturangeboten muss das Kind unter 18 Jahre alt sein.
Kind besucht eine allgemein- oder berufsbildende Schule
Kind erhält keine Ausbildungsvergütung (gilt nicht für Anspruchsberechtigte nach dem SGB XII)
für die Übernahme der Mittagessenskosten: 
  
Schule oder Kindertagesstätte bietet ein Mittagessen an.
Kinder oder Jugendliche sind unter 25 Jahre alt (gilt nicht für Anspruchsberechtigte nach dem SGB XII).

für die Übernahme der Schülerbeförderungskosten: 
  
Das Kind fährt zur nächstgelegenen Schule, die den gewählten Bildungsgang anbietet.
Die Kosten werden nicht anderweitig abgedeckt.

für den Antrag auf Übernahme der Kosten für Nachhilfeunterricht: 
  
Die Schule bestätigt die Notwendigkeit.
Es bestehen keine vergleichbaren schulischen Angebote.
Die Lernförderung muss angemessen und geeignet sein, um die nach den schulrechtlichen Bestimmungen festgelegten wesentlichen Lernziele zu erreichen.",Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/|Sozialgesetzbuch Zwölftes Buch (SGB XII)<>https://www.gesetze-im-internet.de/sgb_12/|Bundeskindergeldgesetz (BKGG)<>https://www.gesetze-im-internet.de/bkgg_1996/BJNR137800995.html|Asylbewerberleistungsgesetz <>https://www.gesetze-im-internet.de/asylblg/BJNR107410993.html
"Bildungspaket - Informationen für Leistungsanbieter für die Bereiche Kultur, Musik und Sport, Registrierung in der Anbieterdatenbank",S100002.LB.S1000020010000006118,020000000000,"Leistungsberechtigt sind ???Babys, Kinder und Jugendliche unter 18 Jahren, die (oder deren Eltern) Leistungen nach dem SGB II, dem SGB XII, der §§ 2 oder 3 AsylbLG oder Wohngeld oder Kinderzuschlag erhalten. Der Nachweis der Leistungsberechtigung (Bewilligungs- oder Kurzbescheid) ist vorzuzeigen(siehe Link 'Muster von Leistungsbescheinigungen').",nicht angegeben
Sozialpass beantragen,L100009.LB.6000971,140000000000,"Antragsberechtigt sind Sie in der Regel bei Bezug von

Hilfe zum Lebensunterhalt oder Grundsicherung nach Sozialgesetzbuch XII
Arbeitslosengeld oder Sozialgeld nach Sozialgesetzbuch II
Leistungen nach dem Asylbewerberleistungsgesetz

weitere Voraussetzung:

Sie haben Ihren Hauptwohnsitz in der Stadt oder Gemeinde, die den Pass für Geringverdiener ausstellt

Welche genauen Einkommensgrenzen gelten und welche weiteren Voraussetzungen Sie erfüllen müssen, erfahren Sie bei der zuständigen Stelle.",jeweilige kommunale Richtlinie zur Gewährung dieser freiwilligen Leistung
Schuldnerberatung wahrnehmen,L100002.LB.df8d5c9af8c07b206aae56a24b3566e9,050000000000,"Für eine Schuldnerberatung bei einer öffentlichen oder privaten Einrichtung:    Sie haben bereits Schulden oder Ihnen droht eine finanzielle Notlage.     Für eine Schuldnerberatung beim Jobcenter:    Sie werden in der Arbeitsvermittlung vom Jobcenter betreut, erhalten Bürgergeld und beziehen kein Arbeitslosengeld (ALG I). Weitere Voraussetzungen kann das zuständige Jobcenter prüfen.","§ 16a Nummer 2 Sozialgesetzbuch Zweites Buch (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__16a.html|§ 11 Absatz 1, 4 Sozialgesetzbuch Zwölftes Buch (SGB XII)<>https://www.gesetze-im-internet.de/sgb_12/__11.html|§ 67ff. Sozialgesetzbuch Zwölftes Buch  (SGB XII)<>https://www.gesetze-im-internet.de/sgb_12/__68.html|§ 3 Durchführungsverordnung (DVO § 69 Sozialgesetzbuch Zwölftes Buch (SGB XII), Hilfe bei besonderen sozialen Schwierigkeiten)<>https://verband-bsw.de/sites/default/files/anhang/Soz.%20Schwierigkeiten%20DVO___69_SGB_XII.pdf"
"Förderung aus dem ESF Plus-Programm ""EhAP Plus - Eingliederung hilft gegen Ausgrenzung der am stärksten benachteiligten Personen"" beantragen",B100019.LB.103963660,000000000000,"Sie können einen Antrag stellen  als juristische Person des privaten und öffentlichen Rechts, als rechtsfähige Personengesellschaft, beispielsweise als  Kommune, Träger der freien Wohlfahrtspflege, sonstiger gemeinnütziger Träger, Forschungsinstitut, Verband und Unternehmen.    Natürliche Personen sind von der Förderung ausgeschlossen. Beachten Sie folgende Voraussetzungen:  Bei der Planung müssen Sie die bereichsübergreifenden Grundsätze zur Gleichstellung der Geschlechter, Antidiskriminierung sowie die ökologische Dimension der Nachhaltigkeit beachten. Sie können die Zielgruppen im EhAP Plus in den Einzelzielen 1 und 2 auch über arbeitsmarktbezogene Inhalte informieren und beraten. Dabei werden keine eigenen Maßnahmen oder direkte Vermittlungen in Arbeit oder Ausbildung sowie zu konkreten Förderleistungen gemäß Sozialgesetzbuch (SGB) II beziehungsweise III gefördert. Eine direkte Heranführung der Zielgruppen an den Arbeitsmarkt ist nicht möglich.","Artikel 4 Absatz 1 Buchstabe i) Verordnung (EU) 2021/1057<>https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1057|Verordnung (EU) 2021/1060<>https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32021R1060|§ 23 Bundeshaushaltsordnung (BHO)<>https://www.gesetze-im-internet.de/bho/__23.html|§ 44 Bundeshaushaltsordnung (BHO) Absatz 1<>https://www.gesetze-im-internet.de/bho/__44.html|in Verbindung mit Allgemeine Verwaltungsvorschriften (VV) Nummer 4 zu § 44 Bundeshaushaltsordnung (BHO)<>https://www.verwaltungsvorschriften-im-internet.de/bsvwvbund_14032001_DokNr20110981762.htm|Förderrichtlinie zum ESF-Programm ""Eingliederung hilft gegen Ausgrenzung der am stärksten benachteiligten Personen"" vom 20.04.2022 (BAnz AT 25.04.2022 B3)<>https://www.bundesanzeiger.de/pub/de/amtlicher-teil?9=null&year=2022&edition=BAnz+AT+25.04.2022"
Unterhaltsvorschuss Jährliche Anspruchsüberprüfung,L100002.LB.f15285197cd10071617d7b0d75c9d331,050000000000,"Die Anspruchsvoraussetzungen können § 1 Unterhaltsvorschussgesetz (UVG) entnommen werden.Für Kinder unter 12 Jahren: der Elternteil, bei dem das Kind lebt, ist ledig, verwitwet, geschieden oder von seinem Ehegatten oder Lebenspartner dauernd getrennt lebend das Kind erhält nicht oder nicht regelmäßig Zahlungen des anderen Elternteils bzw., wenn dieser verstorben ist, entsprechende Waisenbezüge in nicht ausreichender HöheZusätzlich für Kinder ab 12 Jahren: das Kind erhält keine SGB II-Leistungen, oder das Kind benötigt zusammen mit dem Unterhaltsvorschuss keine SGB II-Leistungen mehr, oder der alleinerziehende Elternteil im SGB II-Bezug erzielt ein eigenes Einkommen von mindestens 600,00 Euro brutto",Unterhaltsvorschussgesetz (UVG)<>https://www.gesetze-im-internet.de/uhvorschg/
Entschädigung nach dem Infektionsschutzgesetz wegen (Kinder-)Betreuungserfordernis beantragen,L100022.LB.6003633,080000000000,"Ihr Kind kann seine Betreuungseinrichtung oder Schule aufgrund einer behördlich angeordneten Schließung oder Absonderung nicht besuchen.
Ihr Kind ist jünger als 12 Jahre alt oder Ihr Kind hat eine Behinderung und ist auf Hilfe angewiesen.
Sie haben einen Verdienstausfall.
Sie haben keine anderweitige zumutbare Betreuungsmöglichkeit.

Eine Entschädigung können Sie nicht erhalten:

für die Zeit einer eigenen Krankschreibung oder Krankmeldung.
bei Bezug von Kinderkrankengeld nach dem SGB V für den maßgeblichen Zeitraum.
für Auszubildende, die aus einem in ihrer Person liegenden Grund unverschuldet verhindert sind, ihre Pflichten aus dem Berufsausbildungsverhältnis zu erfüllen (gemäß § 19 Absatz 1 Ziffer 2 Buchstabe b BBiG).
bei fehlender Tarifregelung: für eine relativ unerhebliche Zeit des Tätigkeitsverbotes (nach § 616 BGB).
bei vertraglichen oder tarifrechtlichen Verpflichtungen des Arbeitgebers zur Lohnfortzahlung.",Infektionsschutzgesetz <>https://www.gesetze-im-internet.de/ifsg/|Berufsbildungsgesetz<>https://www.gesetze-im-internet.de/bbig_2005/|Bürgerliches Gesetzbuch<>https://www.gesetze-im-internet.de/bgb/index.html
Entschädigung nach dem Infektionsschutzgesetz Gewährung für Verdienstausfallentschädigung sorgeberechtigter Personen,L100038.LB.211556334,160000000000,"Eltern haben Anspruch auf Entschädigung ihres Verdienstausfalls wegen Kinderbetreuung, wenn 

Sie Ihr Kind/ Ihre Kinder aufgrund der Schließung einer Betreuungseinrichtung oder Schule durch Behörden selbst betreuen 
Und Ihr Kind jünger als 12 Jahre alt ist oder eine Behinderung hat und auf Hilfe angewiesen ist
Und Sie einen Verdienstausfall haben
Und Sie für dieses Kind sorgeberechtigt sind
Und Sie keine anderweitige zumutbare Betreuungsmöglichkeit haben.",§ 56 Absatz 1a Gesetz zur Verhütung und Bekämpfung von Infektionskrankheiten beim Menschen (Infektionsschutzgesetz - IfSG)<>https://www.gesetze-im-internet.de/ifsg/__56.html
Beihilfe für Hinterbliebene in der landwirtschaftlichen Unfallversicherung erhalten,B100019.LB.102780584,000000000000,"Anspruch auf Hinterbliebenenbeihilfe besteht, wenn:  eine versicherte Person mit Verletztenrentenbezug nach einer Minderung der Erwerbsfähigkeit (MdE) in Höhe von mindestens 50 Prozent zum Todeszeitpunkt bezogen hat und der Tod der versicherten Person nicht Folge eines Arbeitsunfalls oder einer Berufskrankheit ist und somit kein Anspruch auf Hinterbliebenenrente aus der gesetzlichen Unfallversicherung besteht.  zusätzliche Voraussetzungen für Witwen, Witwer und hinterbliebene, eingetragene Lebenspartnerinnen und -partnern:  Die Witwer beziehungsweise Witweneigenschaft liegt vor. Es war keine Versorgungsehe.  zusätzliche Voraussetzungen für Vollwaisen:   Es besteht ein angenommener Waisenrentenanspruch (das heißt, die Vollwaise hätte bei Tod der versicherten Person infolge eines Versicherungsfalls in der gesetzlichen Unfallversicherung Anspruch auf Waisenrente). Die Vollwaise hat zum Todeszeitpunkt mit der verstorbenen Person zusammengelebt. Die Vollwaise wurde überwiegend von der verstorbenen Person unterhalten.  Voraussetzungen für laufende Beihilfe: Ihre Angehörige oder Ihr Angehöriger bezog zum Todeszeitpunkt eine oder mehrere Renten aus der landwirtschaftlichen Unfallversicherung, die  gegebenenfalls zusammen mit anderen Renten der gesetzlichen Unfallversicherung eine MdE in Höhe von 80 Prozent erreichen, mindestens 10 Jahre bezogen wurde(n) und hierdurch ist eine mindestens 10-prozentige Einbuße in den Hinterbliebenenleistungen der gesetzlichen Rentenversicherung nachweisbar.",§ 71 Siebtes Buch Sozialgesetzbuch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__71.html
Notunterkünfte,S100003.LB.S1000030000242914,040110000000,Obdachlosigkeit,Sozialgesetzbuch XII (Zwölftes Buch)<>http%3A%2F%2Fwww.gesetze-im-internet.de%2Fsgb_12%2F|Sozialgesetzbuch Zweites Buch (SGB II)<>http%3A%2F%2Fwww.gesetze-im-internet.de%2Fsgb_2%2F
Entschädigung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Selbstständige,L100108.LB.L100108.329424,110000000000,"TätigkeitsverbotEine die Person betreffende Anordnung zum persönlichen Tätigkeitsverbot.
Eine Rechtsvorschrift oder Allgemeinverfügung, nach der die Person einem Tätigkeitsverbot unterliegt.QuarantäneEine die Person betreffende Anordnung zur persönlichen Absonderung.
Eine Rechtsvorschrift oder Allgemeinverfügung, nach der die Person sich abzusondern hat.VerdienstausfallAls monatlicher Verdienstausfall gilt ein Zwölftel des nach den allgemeinen Gewinnermittlungsvorschriften des Einkommensteuerrechts ermittelten Gewinns aus der entschädigungspflichtigen Tätigkeit. Der Zeitraum des durch ein Tätigkeitsverbot oder eine Quarantäne verursachten Verdienstausfalls umfasst nicht immer den gesamten Zeitraum der angeordneten Maßnahme. So können z. B. Zeiten, in denen die betroffene Person andere Entgeltansprüche hat, den maßnahmebedingten Verdienstausfallzeitraum reduzieren:
KrankheitszeitenMutterschutzzeitenZeiten, in denen die selbständige Tätigkeit unabhängig von einem persönlichen Tätigkeitsverbot oder einer Quarantäne ruhte oder nicht ausgeübt wurdeSchutzimpfungEine Entschädigung erhält nicht, wer durch Inanspruchnahme einer Schutzimpfung, die gesetzlich vorgeschrieben ist oder im Bereich des gewöhnlichen Aufenthaltsorts öffentlich empfohlen wurde, das Tätigkeitsverbot oder die Quarantäne hätte vermeiden können.
bei Masern: grundsätzlich ab 1. März 2020 (lt. Masernschutzgesetz)bei COVID-19: für die Grundimmunisierung durch Zweifachimpfung grundsätzlich ab 1. November 2021 (lt. Beschluss der Gesundheitsministerkonferenz vom 22.09.2021)bei COVID-19: für die Auffrischungsimpfung durch dritte Impfung grundsätzlich ab 16. Februar 2022 (acht Wochen nach Impfempfehlung der Ständigen Impfkommission, lt. Beschluss der Gesundheitsministerkonferenz vom 22.09.2021)ReiseantrittEine Entschädigung erhält nicht, wer durch Nichtantritt einer vermeidbaren Reise in ein bereits zum Zeitpunkt der Abreise eingestuftes Risikogebiet das Tätigkeitsverbot oder die Quarantäne hätte vermeiden können.",Infektionsschutzgesetz (IfSG) §§ 56 ff.<>https://www.gesetze-im-internet.de/ifsg/__56.html
KreisBonusCard beantragen,L100022.LB.6018369,080000000000,"Einwohnerinnen und Einwohner des Landkreises Tübingen erhalten die KreisBonusCard auf Antrag beim Landratsamt Tübingen, wenn sie eine der folgenden Sozialleistungen beziehen:

Bürgergeld (Leistungen nach dem Sozialgesetzbuch II)
Sozialhilfe (Leistungen nach dem 3. und 4. Kapitel des Sozialgesetzbuchs XII)
Wohngeld (Leistungen nach dem Wohngeldgesetz)
Asylbewerberleistungen (Leistungen nach dem Asylbewerberleistungsgesetz)
Kinderzuschlag (§ 6a Bundeskindergeldgesetz)","Die Ausstellung der KreisBonusCard ist eine freiwillige Aufgabe des Landkreises Tübingen.
Die Vergünstigungen sind ein freiwilliges Angebot der teilnehmenden Städte und Gemeinden sowie verschiedenen Vereinen, Organisationen, Unternehmen und öffentlichen Einrichtungen im Landkreis Tübingen.
Es besteht kein Rechtsanspruch auf die Gewährung von Vergünstigungen."
Waisenrente von der gesetzlichen Unfallversicherung erhalten,B100019.LB.582435,000000000000,"Sie erhalten die Waisenrente, wenn die Person infolge eines Versicherungsfalls gestorben ist. Dazu gehören Arbeitsunfälle, Unfälle auf dem Arbeitsweg und Berufskrankheiten. Sie erhalten die Waisenrente als  leibliches Kind, Stiefkind oder Pflegekind, wenn Sie im Haushalt der verstorbenen Person gelebt haben und dort versorgt und betreut wurden und als Enkel oder Geschwisterteil, wenn Sie im Haushalt der verstorbenen Person gelebt haben und dort versorgt und betreut wurden. Sie können zudem die Waisenrente erhalten, wenn die verstorbene Person überwiegend für Ihren Lebensunterhalt aufgekommen ist.  Unter diesen Voraussetzungen erhalten Sie die Waisenrente auch dann, wenn Sie 18 bis unter 27 Jahre alt sind:  Sie befinden sich in Schul- oder Berufsausbildung oder Sie können wegen einer körperlichen, geistigen oder seelischen Behinderung nicht selbst für Ihren Unterhalt aufkommen oder Sie befinden sich in einer Übergangszeit von höchstens 4 Kalendermonaten  zwischen einem Ausbildungsabschnitt und dem nächsten Ausbildungsabschnitt oder der Ableistung des gesetzlichen Wehr- oder Zivildienstes oder der Ableistung eines freiwilligen Dienstes.",§ 67 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_7/__67.html|§ 68 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_8/__68.html|§ 70 Sozialgesetzbuch Siebtes Buch (SGB VII)<>https://www.gesetze-im-internet.de/sgb_8/__70.html
Erstattung nach Infektionsschutzgesetz bei eigener Kinderbetreuung - Arbeitgeber/innen,L100108.LB.L100108.329553,110000000000,"Betreuungsbedürftige PersonEin Kind, das das zwölfte Lebensjahr noch nicht vollendet hat oder behindert und auf Hilfe angewiesen istVorrübergehende Schließung von Kinderbetreuungseinrichtungen, Schulen oder Einrichtungen für Menschen mit Behinderungen (ab 30.03.2020)Die vorübergehende Schließung erfolgt von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten auf Grund des Infektionsschutzgesetzes. Soweit die Schließung durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen (ab 30.03.2020)Das Betretungsverbot erfolgt bezogen auf die jeweilige genannte Einrichtung von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten auf Grund des Infektionsschutzgesetzes. Soweit das Betretungsverbot durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Quarantäne des KindesFalls kein generelles Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen besteht, gegenüber dem Kind aber eine Quarantäne angeordnet ist und dieses aus dem Grund der Quarantäne eine der vorgenannten Einrichtungen nicht betreten kann, gilt dies als Betretungsverbot.Anordnung oder Verlängerung von Schul- oder Betriebsferien (ab 16.12.2020)Aus Gründen des Infektionsschutzes werden von der zuständigen Behörde Schul- oder Betriebsferien angeordnet oder verlängert.Aufhebung der Präsenzpflicht (ab 16.12.2020)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde die Präsenzpflicht in einer Schule aufgehoben.Einschränkung des Kinderbetreuungsangebots (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde der Zugang zum Kinderbetreuungsangebot eingeschränkt.Behördliche Empfehlung (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von einer Behörde empfohlen, vom Besuch einer Einrichtung zur Betreuung von Kindern, einer Schule oder einer Einrichtung für Menschen mit Behinderungen abzusehen.Betreuung durch erwerbstätige PersonDie erwerbstätige Person muss die betreuungsbedürftige Person im Zeitraum einer Maßnahme nach § 56 Absatz 1a Satz 1 Nummer 1 IfSG selbst beaufsichtigen, betreuen oder pflegen, weil keine andere Betreuungsmöglichkeit sichergestellt werden konnte.Keine zumutbare BetreuungsmöglichkeitDie erwerbstätige Person hat darzulegen, dass keine andere zumutbare Betreuungsmöglichkeit sichergestellt werden konnte. Als zumutbare Betreuungsmöglichkeiten gelten:
angebotene Notbetreuungenzum Haushalt der erwerbstätigen Person gehörende Personen (z. B. Ehepartnerin, Ehepartner, Lebenspartnerin, Lebenspartner, Geschwisterkinder ab dem 16. Lebensjahr, Großeltern (soweit dieser nicht einer Risikogruppe zuzurechnen sind) oder andere Verwandte)zumutbare Nutzung von HomeofficeVerdienstausfallAls Verdienstausfall gilt das Netto-Arbeitsentgelt, das der betreuenden Person bei der persönlich maßgebenden regelmäßigen Arbeitszeit zusteht. Der Zeitraum des durch die notwendige Betreuung eines Kindes verursachten Verdienstausfalls umfasst nicht immer den gesamten Zeitraum der jeweiligen infektionsschutzrechtlichen Maßnahme des § 56 Absatz 1a Satz 1 Nummer 1 IfSG. So können z. B. Zeiten, in denen die betreuende Person andere Vergütungs- oder Lohnfortzahlungsansprüche hat, den maßnahmebedingten Verdienstausfallzeitraum reduzieren:
Zeiten einer vorübergehenden VerhinderungKrankheitszeitenZeiten der Erkrankung des KindesAusbildungszeitenUrlaubszeitenMutterschutzzeitenZeiten der möglichen Arbeitsleistung im HomeofficeArbeitszeitguthaben, das zur Wahrnehmung der Betreuung genutzt werden kannZeiten des Anspruchs auf Kurzarbeitergeld",Infektionsschutzgesetz (IfSG) §§ 56 ff.<>https://www.gesetze-im-internet.de/ifsg/__56.html
Pass für Geringverdiener - Karlsruher Pass beantragen,L100022.LB.6002451,080000000000,"Sie müssen Ihren Wohnsitz im Stadtkreis Karlsruhe bzw. in der SozialRegion haben.
Außerdem:

Bezug von Leistungen nach SGB II,
Grundsicherung nach SGB XII,
Wohngeld,
Kinderzuschlag oder
Leistungen nach dem AsylbLG oder
geringes Einkommen, das mit geeigneten Unterlagen nachgewiesen wird.",Der Karlsruher Pass ist eine freiwillige Leistung der Stadt Karlsruhe.
Ermäßigtes Nahverkehrsticket beantragen,L100040.LB.509483559,030000000000,"Sie haben Ihren Hauptwohnsitz in der Stadt oder Gemeinde, für die ein ermäßigtes Nahverkehrsticket bezogen werden soll
Sie beziehen
	
Hilfe zum Lebensunterhalt oder Grundsicherung nach Sozialgesetzbuch XII
Bürgergeld oder Sozialgeld nach Sozialgesetzbuch II
Leistungen nach dem Asylbewerberleistungsgesetz
Leistungen der Kriegsopferfürsorge nach dem Bundesversorgungsgesetz",nicht angegeben
Bestattungskosten beantragen,L100108.LB.L100108.324527,110000000000,"Nachlass oder Bestattungsvorsorge des Verstorbenen nicht ausreichendKostenpflicht der bestattungspflichtigen PersonenZum Tragen der Kosten sind nacheinander verpflichtet:
vertraglich Verpflichtete (beispielsweise bei Bestattungsvorsorgevereinbarung)der Erbe, bei einer Erbengemeinschaft jeder Miterbebeim Tode der Mutter eines Kindes infolge der Schwangerschaft oder Entbindung dessen VaterUnterhaltsverpflichtetebestattungspflichtige Personen gemäß § 16 Bestattungsgesetz.Keinen Anspruch auf Kostenübernahme hat, wer ohne rechtliche Verpflichtung die Kosten einer Bestattung trägt.Dazu zählt unter anderem, wer aus einem Gefühl sittlicher Verpflichtung oder auf Wunsch der verstorbenen Person, aber ohne Rechtspflicht, die Bestattung veranlasst (beispielsweise Freunde, Nachbarn, ehemalige Betreuer, Nachlasspfleger).Hilfebedürftigkeit der BestattungspflichtigenBestattungspflichtige können die Kosten der Bestattung nicht aus eigenem Einkommen und Vermögen tragen","Sozialgesetzbuch Zwölftes Buch (SGB XII) § 74<>https://www.gesetze-im-internet.de/sgb_12/__74.html|Asylbewerberleistungsgesetz (AsylbLG) §§ 2, 6<>https://www.gesetze-im-internet.de/asylblg/|Bestattungsgesetz<>https://gesetze.berlin.de/perma?j=BestattG_BE_Inhaltsverzeichnis|Ausführungsvorschriften über Bestattungskosten nach § 74 SGB XII (AV-Soz-Bestattungskosten)<>https://www.berlin.de/sen/soziales/service/berliner-sozialrecht/kategorie/ausfuehrungsvorschriften/av_bestattungskosten-571919.php"
Bildung und Teilhabe,L100002.LB.b58359d6b33adab640257377d27fba98,050000000000,"Antragsberechtigt sind Kinder und Jugendliche bis zur Vollendung des 25. Lebensjahrs, die ihre Bildungs- und Teilhabebedarfe nicht aus eigenem Einkommen und Vermögen bzw. eigenem Einkommen und Vermögen der Familie decken können und die deshalb einen Anspruch auf   Leistungen der Grundsicherung für Arbeitsuchende oder  Sozialhilfe Leistungen nach dem Asylbewerberleistungsgesetz  haben oder deren Familien   Kinderzuschlag oder Wohngeld  beziehen.    Altersobergrenze für Leistungen zum Mitmachen in Kultur, Sport und Freizeit: 18 Jahre.",§ 28 Sozialgesetzbuch II (SGB II)<>https://www.gesetze-im-internet.de/sgb_2/__28.html
Kinderzuschlag bei der Familienkasse beantragen,L100009.LB.6000305,140000000000,"die Kinder sind jünger als 25 Jahre, unverheiratet, leben in Ihrem Haushalt
Sie beziehen Kindergeld oder eine vergleichbare Leistung (zum Beispiel Kinderzulage aus der gesetzlichen Unfallversicherung, Kinderzuschuss aus der Rentenversicherung, Leistungen einer zwischen- oder überstaatlichen Einrichtung wie beispielsweise dem Europäisches Parlament)
Ihr Einkommen liegt im Bereich der gesetzlich festgelegten Mindest- und Höchstgrenze: 
  
als Eltern gemeinsam: mindestens EUR 900,00
als alleinerziehende Persion: mindestens EUR 600,00
Der Höchstbetrag ist abhängig vom Alter und Familienstand der Eltern.
Seit dem 01.01.2020 können Sie den Kinderzuschlag auch erhalten, wenn Sie mit Ihrem Erwerbseinkommen, dem Kinderzuschlag und dem Wohngeld nicht mehr als EUR 100,00 monatlich unter dem Bürgergeld-Anspruch bleiben.


Keinen Kinderzuschlag erhalten:

Eltern mit Kindern, die ausschließlich Arbeitslosengeld II, Sozialgeld oder Sozialhilfe beziehen
Personen, denen die Vormundschaft für das Kind übertragen wurde (zum Beispiel Großeltern, bei denen das Kind lebt)",Bundeskindergeldgesetz<>http://www.gesetze-im-internet.de/bkgg_1996/index.html
Sozialhilfe Übernahme von Bestattungskosten,S100002.LB.S1000020010000006964,020000000000,Antragsberechtigt ist nur eine bestattungspflichtige Person.,http://www.gesetze-im-internet.de/sgb_12/__74.html<>http://www.gesetze-im-internet.de/sgb_12/__74.html|http://www.gesetze-im-internet.de/sgb_12/__98.html<>http://www.gesetze-im-internet.de/sgb_12/__98.html
Bestattungskosten (Hilfe in anderen Lebenslagen),L100002.LB.d5205bc135b98b5b9967c880a1e45164,050000000000,"Die Kosten für eine Bestattung können ganz oder anteilig übernommen werden, wenna) die Kosten der Bestattung unter sozialhilferechtlichen Aspekten angemessen sind, b) kein (ausreichender) Nachlass des Verstorbenen vorhanden ist, c) Sie zu der Übernahme der Bestattungskosten verpflichtet, jedoch nicht in der Lage sind, die Kosten aus eigenen Mitteln zu tragen.",§74 SGB XII<>https://dejure.org/gesetze/SGB_XII/74.html
Bildungspaket - Kostenerstattung für Schülerbeförderungskosten,S100002.LB.S1000020010000006113,020000000000,"Schüler unter 25 Jahren, die oder deren Eltern Bezieher der o.g. Leistungen sind (Altersgrenze von 25 Jahren entfällt für Leistungsberechtigte nach dem SGB XII und dem AsylbLG)
Besuch einer allgemein- oder berufsbildenden Schule
kein Erhalt einer Ausbildungsvergütung
Entfernung gemäß Schülerfahrgeldbestimmungen vom 07.02.2006/ Hamburger Richtlinien für Schülerbeförderungskosten",nicht angegeben
Unterhaltsvorschuss Änderungsmitteilung,L100002.LB.9c1f88cf359165a8ab1cff0aca71a48e,050000000000,"Die Anspruchsvoraussetzungen können § 1 Unterhaltsvorschussgesetz (UVG) entnommen werden.Für Kinder unter 12 Jahren: der Elternteil, bei dem das Kind lebt, ist ledig, verwitwet, geschieden oder von seinem Ehegatten oder Lebenspartner dauernd getrennt lebend das Kind erhält nicht oder nicht regelmäßig Zahlungen des anderen Elternteils bzw., wenn dieser verstorben ist, entsprechende Waisenbezüge in nicht ausreichender HöheZusätzlich für Kinder ab 12 Jahren: das Kind erhält keine SGB II-Leistungen, oder das Kind benötigt zusammen mit dem Unterhaltsvorschuss keine SGB II-Leistungen mehr, oder der alleinerziehende Elternteil im SGB II-Bezug erzielt ein eigenes Einkommen von mindestens 600,00 Euro brutto",Unterhaltsvorschussgesetz (UVG)<>https://www.gesetze-im-internet.de/uhvorschg/
Hilfe zum Lebensunterhalt: Gewährung,L100040.LB.8922784,030000000000,"Hilfe zum Lebensunterhalt steht bedürftigen Personen zu, die ihren notwendigen Lebensunterhalt nicht oder nicht ausreichend aus Einkommen und Vermögen bestreiten können und die erforderlichen Leistungen nicht von anderen erhalten. Die Hilfe setzt grundsätzlich mit Kenntnisnahme des Sozialhilfeträgers ein, dass die Voraussetzungen für die Leistung vorliegen.",§§ 27 bis 40 Sozialgesetzbuch – Zwölftes Buch (SGB XII)<>http://www.gesetze-im-internet.de/sgb_12/index.html
