Name,ID-LB,ARS,Eligibility Requirements
Entschädigung nach Infektionsschutzgesetz bei Tätigkeitsverbot/Quarantäne - Selbstständige,L100108.LB.L100108_329424,['110000000000'],"TätigkeitsverbotEine die Person betreffende Anordnung zum persönlichen Tätigkeitsverbot.
Eine Rechtsvorschrift oder Allgemeinverfügung, nach der die Person einem Tätigkeitsverbot unterliegt.QuarantäneEine die Person betreffende Anordnung zur persönlichen Absonderung.
Eine Rechtsvorschrift oder Allgemeinverfügung, nach der die Person sich abzusondern hat.VerdienstausfallAls monatlicher Verdienstausfall gilt ein Zwölftel des nach den allgemeinen Gewinnermittlungsvorschriften des Einkommensteuerrechts ermittelten Gewinns aus der entschädigungspflichtigen Tätigkeit. Der Zeitraum des durch ein Tätigkeitsverbot oder eine Quarantäne verursachten Verdienstausfalls umfasst nicht immer den gesamten Zeitraum der angeordneten Maßnahme. So können z. B. Zeiten, in denen die betroffene Person andere Entgeltansprüche hat, den maßnahmebedingten Verdienstausfallzeitraum reduzieren:
KrankheitszeitenMutterschutzzeitenZeiten, in denen die selbständige Tätigkeit unabhängig von einem persönlichen Tätigkeitsverbot oder einer Quarantäne ruhte oder nicht ausgeübt wurdeSchutzimpfungEine Entschädigung erhält nicht, wer durch Inanspruchnahme einer Schutzimpfung, die gesetzlich vorgeschrieben ist oder im Bereich des gewöhnlichen Aufenthaltsorts öffentlich empfohlen wurde, das Tätigkeitsverbot oder die Quarantäne hätte vermeiden können.
bei Masern: grundsätzlich ab 1. März 2020 (lt. Masernschutzgesetz)bei COVID-19: für die Grundimmunisierung durch Zweifachimpfung grundsätzlich ab 1. November 2021 (lt. Beschluss der Gesundheitsministerkonferenz vom 22.09.2021)bei COVID-19: für die Auffrischungsimpfung durch dritte Impfung grundsätzlich ab 16. Februar 2022 (acht Wochen nach Impfempfehlung der Ständigen Impfkommission, lt. Beschluss der Gesundheitsministerkonferenz vom 22.09.2021)ReiseantrittEine Entschädigung erhält nicht, wer durch Nichtantritt einer vermeidbaren Reise in ein bereits zum Zeitpunkt der Abreise eingestuftes Risikogebiet das Tätigkeitsverbot oder die Quarantäne hätte vermeiden können."
KreisBonusCard beantragen,L100022.LB.6018369,['080000000000'],"Einwohnerinnen und Einwohner des Landkreises Tübingen erhalten die KreisBonusCard auf Antrag beim Landratsamt Tübingen, wenn sie eine der folgenden Sozialleistungen beziehen:

Bürgergeld (Leistungen nach dem Sozialgesetzbuch II)
Sozialhilfe (Leistungen nach dem 3. und 4. Kapitel des Sozialgesetzbuchs XII)
Wohngeld (Leistungen nach dem Wohngeldgesetz)
Asylbewerberleistungen (Leistungen nach dem Asylbewerberleistungsgesetz)
Kinderzuschlag (§ 6a Bundeskindergeldgesetz)"
Waisenrente von der gesetzlichen Unfallversicherung erhalten,B100019.LB.582435,['000000000000'],"Sie erhalten die Waisenrente, wenn die Person infolge eines Versicherungsfalls gestorben ist. Dazu gehören Arbeitsunfälle, Unfälle auf dem Arbeitsweg und Berufskrankheiten. Sie erhalten die Waisenrente als  leibliches Kind, Stiefkind oder Pflegekind, wenn Sie im Haushalt der verstorbenen Person gelebt haben und dort versorgt und betreut wurden und als Enkel oder Geschwisterteil, wenn Sie im Haushalt der verstorbenen Person gelebt haben und dort versorgt und betreut wurden. Sie können zudem die Waisenrente erhalten, wenn die verstorbene Person überwiegend für Ihren Lebensunterhalt aufgekommen ist.  Unter diesen Voraussetzungen erhalten Sie die Waisenrente auch dann, wenn Sie 18 bis unter 27 Jahre alt sind:  Sie befinden sich in Schul- oder Berufsausbildung oder Sie können wegen einer körperlichen, geistigen oder seelischen Behinderung nicht selbst für Ihren Unterhalt aufkommen oder Sie befinden sich in einer Übergangszeit von höchstens 4 Kalendermonaten  zwischen einem Ausbildungsabschnitt und dem nächsten Ausbildungsabschnitt oder der Ableistung des gesetzlichen Wehr- oder Zivildienstes oder der Ableistung eines freiwilligen Dienstes."
Erstattung nach Infektionsschutzgesetz bei eigener Kinderbetreuung - Arbeitgeber/innen,L100108.LB.L100108_329553,['110000000000'],"Betreuungsbedürftige PersonEin Kind, das das zwölfte Lebensjahr noch nicht vollendet hat oder behindert und auf Hilfe angewiesen istVorrübergehende Schließung von Kinderbetreuungseinrichtungen, Schulen oder Einrichtungen für Menschen mit Behinderungen (ab 30.03.2020)Die vorübergehende Schließung erfolgt von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten auf Grund des Infektionsschutzgesetzes. Soweit die Schließung durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen (ab 30.03.2020)Das Betretungsverbot erfolgt bezogen auf die jeweilige genannte Einrichtung von der zuständigen Behörde zur Verhinderung der Verbreitung von Infektionen oder übertragbaren Krankheiten auf Grund des Infektionsschutzgesetzes. Soweit das Betretungsverbot durch § 28b Absatz 3 IfSG (in der Fassung vom 28.05.2021) unmittelbar angeordnet ist, bedarf es keiner Anordnung durch eine zuständige Behörde.Quarantäne des KindesFalls kein generelles Betretungsverbot der Kinderbetreuungseinrichtung, Schule oder Einrichtung für Menschen mit Behinderungen besteht, gegenüber dem Kind aber eine Quarantäne angeordnet ist und dieses aus dem Grund der Quarantäne eine der vorgenannten Einrichtungen nicht betreten kann, gilt dies als Betretungsverbot.Anordnung oder Verlängerung von Schul- oder Betriebsferien (ab 16.12.2020)Aus Gründen des Infektionsschutzes werden von der zuständigen Behörde Schul- oder Betriebsferien angeordnet oder verlängert.Aufhebung der Präsenzpflicht (ab 16.12.2020)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde die Präsenzpflicht in einer Schule aufgehoben.Einschränkung des Kinderbetreuungsangebots (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von der zuständigen Behörde der Zugang zum Kinderbetreuungsangebot eingeschränkt.Behördliche Empfehlung (ab 31.03.2021)Aus Gründen des Infektionsschutzes wird von einer Behörde empfohlen, vom Besuch einer Einrichtung zur Betreuung von Kindern, einer Schule oder einer Einrichtung für Menschen mit Behinderungen abzusehen.Betreuung durch erwerbstätige PersonDie erwerbstätige Person muss die betreuungsbedürftige Person im Zeitraum einer Maßnahme nach § 56 Absatz 1a Satz 1 Nummer 1 IfSG selbst beaufsichtigen, betreuen oder pflegen, weil keine andere Betreuungsmöglichkeit sichergestellt werden konnte.Keine zumutbare BetreuungsmöglichkeitDie erwerbstätige Person hat darzulegen, dass keine andere zumutbare Betreuungsmöglichkeit sichergestellt werden konnte. Als zumutbare Betreuungsmöglichkeiten gelten:
angebotene Notbetreuungenzum Haushalt der erwerbstätigen Person gehörende Personen (z. B. Ehepartnerin, Ehepartner, Lebenspartnerin, Lebenspartner, Geschwisterkinder ab dem 16. Lebensjahr, Großeltern (soweit dieser nicht einer Risikogruppe zuzurechnen sind) oder andere Verwandte)zumutbare Nutzung von HomeofficeVerdienstausfallAls Verdienstausfall gilt das Netto-Arbeitsentgelt, das der betreuenden Person bei der persönlich maßgebenden regelmäßigen Arbeitszeit zusteht. Der Zeitraum des durch die notwendige Betreuung eines Kindes verursachten Verdienstausfalls umfasst nicht immer den gesamten Zeitraum der jeweiligen infektionsschutzrechtlichen Maßnahme des § 56 Absatz 1a Satz 1 Nummer 1 IfSG. So können z. B. Zeiten, in denen die betreuende Person andere Vergütungs- oder Lohnfortzahlungsansprüche hat, den maßnahmebedingten Verdienstausfallzeitraum reduzieren:
Zeiten einer vorübergehenden VerhinderungKrankheitszeitenZeiten der Erkrankung des KindesAusbildungszeitenUrlaubszeitenMutterschutzzeitenZeiten der möglichen Arbeitsleistung im HomeofficeArbeitszeitguthaben, das zur Wahrnehmung der Betreuung genutzt werden kannZeiten des Anspruchs auf Kurzarbeitergeld"
Pass für Geringverdiener - Karlsruher Pass beantragen,L100022.LB.6002451,['080000000000'],"Sie müssen Ihren Wohnsitz im Stadtkreis Karlsruhe bzw. in der SozialRegion haben.
Außerdem:

Bezug von Leistungen nach SGB II,
Grundsicherung nach SGB XII,
Wohngeld,
Kinderzuschlag oder
Leistungen nach dem AsylbLG oder
geringes Einkommen, das mit geeigneten Unterlagen nachgewiesen wird."
Ermäßigtes Nahverkehrsticket beantragen,L100040.LB.509483559,['030000000000'],"Sie haben Ihren Hauptwohnsitz in der Stadt oder Gemeinde, für die ein ermäßigtes Nahverkehrsticket bezogen werden soll
Sie beziehen
	
Hilfe zum Lebensunterhalt oder Grundsicherung nach Sozialgesetzbuch XII
Bürgergeld oder Sozialgeld nach Sozialgesetzbuch II
Leistungen nach dem Asylbewerberleistungsgesetz
Leistungen der Kriegsopferfürsorge nach dem Bundesversorgungsgesetz"
Bestattungskosten beantragen,L100108.LB.L100108_324527,['110000000000'],"Nachlass oder Bestattungsvorsorge des Verstorbenen nicht ausreichendKostenpflicht der bestattungspflichtigen PersonenZum Tragen der Kosten sind nacheinander verpflichtet:
vertraglich Verpflichtete (beispielsweise bei Bestattungsvorsorgevereinbarung)der Erbe, bei einer Erbengemeinschaft jeder Miterbebeim Tode der Mutter eines Kindes infolge der Schwangerschaft oder Entbindung dessen VaterUnterhaltsverpflichtetebestattungspflichtige Personen gemäß § 16 Bestattungsgesetz.Keinen Anspruch auf Kostenübernahme hat, wer ohne rechtliche Verpflichtung die Kosten einer Bestattung trägt.Dazu zählt unter anderem, wer aus einem Gefühl sittlicher Verpflichtung oder auf Wunsch der verstorbenen Person, aber ohne Rechtspflicht, die Bestattung veranlasst (beispielsweise Freunde, Nachbarn, ehemalige Betreuer, Nachlasspfleger).Hilfebedürftigkeit der BestattungspflichtigenBestattungspflichtige können die Kosten der Bestattung nicht aus eigenem Einkommen und Vermögen tragen"
Bildung und Teilhabe,L100002.LB.b58359d6b33adab640257377d27fba98,['050000000000'],"Antragsberechtigt sind Kinder und Jugendliche bis zur Vollendung des 25. Lebensjahrs, die ihre Bildungs- und Teilhabebedarfe nicht aus eigenem Einkommen und Vermögen bzw. eigenem Einkommen und Vermögen der Familie decken können und die deshalb einen Anspruch auf   Leistungen der Grundsicherung für Arbeitsuchende oder  Sozialhilfe Leistungen nach dem Asylbewerberleistungsgesetz  haben oder deren Familien   Kinderzuschlag oder Wohngeld  beziehen.    Altersobergrenze für Leistungen zum Mitmachen in Kultur, Sport und Freizeit: 18 Jahre."
"Förderung zur Teilnahme an kulturellen, sozialen und bildenden Angeboten für Kinder, Jugendliche und junge Erwachsene bei Wohngeldbezug beantragen",S100002.LB.S1000020010000012908,['020000000000'],nicht angegeben
Kinderzuschlag bei der Familienkasse beantragen,L100009.LB.6000305,['140000000000'],"die Kinder sind jünger als 25 Jahre, unverheiratet, leben in Ihrem Haushalt
Sie beziehen Kindergeld oder eine vergleichbare Leistung (zum Beispiel Kinderzulage aus der gesetzlichen Unfallversicherung, Kinderzuschuss aus der Rentenversicherung, Leistungen einer zwischen- oder überstaatlichen Einrichtung wie beispielsweise dem Europäisches Parlament)
Ihr Einkommen liegt im Bereich der gesetzlich festgelegten Mindest- und Höchstgrenze: 
  
als Eltern gemeinsam: mindestens EUR 900,00
als alleinerziehende Persion: mindestens EUR 600,00
Der Höchstbetrag ist abhängig vom Alter und Familienstand der Eltern.
Seit dem 01.01.2020 können Sie den Kinderzuschlag auch erhalten, wenn Sie mit Ihrem Erwerbseinkommen, dem Kinderzuschlag und dem Wohngeld nicht mehr als EUR 100,00 monatlich unter dem Bürgergeld-Anspruch bleiben.


Keinen Kinderzuschlag erhalten:

Eltern mit Kindern, die ausschließlich Arbeitslosengeld II, Sozialgeld oder Sozialhilfe beziehen
Personen, denen die Vormundschaft für das Kind übertragen wurde (zum Beispiel Großeltern, bei denen das Kind lebt)"
Sozialhilfe Übernahme von Bestattungskosten,S100002.LB.S1000020010000006964,['020000000000'],Antragsberechtigt ist nur eine bestattungspflichtige Person.
Bestattungskosten (Hilfe in anderen Lebenslagen),L100002.LB.d5205bc135b98b5b9967c880a1e45164,['050000000000'],"Die Kosten für eine Bestattung können ganz oder anteilig übernommen werden, wenna) die Kosten der Bestattung unter sozialhilferechtlichen Aspekten angemessen sind, b) kein (ausreichender) Nachlass des Verstorbenen vorhanden ist, c) Sie zu der Übernahme der Bestattungskosten verpflichtet, jedoch nicht in der Lage sind, die Kosten aus eigenen Mitteln zu tragen."
"Sozialhilfe, Grundsicherung im Alter und bei dauerhafter Erwerbsminderung",S100002.LB.S1000020010000001041,['020000000000'],nicht angegeben
Bildungspaket - Kostenerstattung für Schülerbeförderungskosten,S100002.LB.S1000020010000006113,['020000000000'],"Schüler unter 25 Jahren, die oder deren Eltern Bezieher der o.g. Leistungen sind (Altersgrenze von 25 Jahren entfällt für Leistungsberechtigte nach dem SGB XII und dem AsylbLG)
Besuch einer allgemein- oder berufsbildenden Schule
kein Erhalt einer Ausbildungsvergütung
Entfernung gemäß Schülerfahrgeldbestimmungen vom 07.02.2006/ Hamburger Richtlinien für Schülerbeförderungskosten"
Ermäßigtes Nahverkehrsticket Erteilung,L100002.LB.9662e5c0b871942c5b5acce4f12f7c15,['050000000000'],nicht angegeben
Altenhilfe gewähren,L100039.LB.8936100,['070000000000'],nicht angegeben
Unterhaltsvorschuss Änderungsmitteilung,L100002.LB.9c1f88cf359165a8ab1cff0aca71a48e,['050000000000'],"Die Anspruchsvoraussetzungen können § 1 Unterhaltsvorschussgesetz (UVG) entnommen werden.Für Kinder unter 12 Jahren: der Elternteil, bei dem das Kind lebt, ist ledig, verwitwet, geschieden oder von seinem Ehegatten oder Lebenspartner dauernd getrennt lebend das Kind erhält nicht oder nicht regelmäßig Zahlungen des anderen Elternteils bzw., wenn dieser verstorben ist, entsprechende Waisenbezüge in nicht ausreichender HöheZusätzlich für Kinder ab 12 Jahren: das Kind erhält keine SGB II-Leistungen, oder das Kind benötigt zusammen mit dem Unterhaltsvorschuss keine SGB II-Leistungen mehr, oder der alleinerziehende Elternteil im SGB II-Bezug erzielt ein eigenes Einkommen von mindestens 600,00 Euro brutto"
Hilfe zum Lebensunterhalt: Gewährung,L100040.LB.8922784,['030000000000'],"Hilfe zum Lebensunterhalt steht bedürftigen Personen zu, die ihren notwendigen Lebensunterhalt nicht oder nicht ausreichend aus Einkommen und Vermögen bestreiten können und die erforderlichen Leistungen nicht von anderen erhalten. Die Hilfe setzt grundsätzlich mit Kenntnisnahme des Sozialhilfeträgers ein, dass die Voraussetzungen für die Leistung vorliegen."
Bildungspaket - Kostenerstattung für Mittagsverpflegung in der Schule,S100002.LB.S1000020010000006114,['020000000000'],"Schüler unter 25 Jahren, die oder deren Eltern Bezieher von Arbeitslosengeld II, Sozialgeld, Leistungen nach dem Sozialgesetzbuch XII (Sozialhilfe, Grundsicherung), Leistungen im Rahmen der Paragrafen 2 oder 3 des Asylbewerberleistungsgesetzes, Wohngeld oder Kinderzuschlag nach dem Bundeskindergeldgesetz sind (Altersgrenze v. 25 J. entfällt für Bezieher nach SGB XII u. AsylbLG)
Besuch einer allgemein- oder berufsbildenden Schule mit Mittagessenangebot 
kein Erhalt einer Ausbildungsvergütung"
Sozialhilfe; Beantragung von Altenhilfe,L100042.LB.26944,['090000000000'],"Die Altenhilfe wird bei altersbedingtem und ggf. finanziellem Hilfebedarf gewährt.
Die Altenhilfe in Form von Beratung und Unterstützung wird ohne Rücksicht auf Einkommen und Vermögen gewährt werden, wenn sie erforderlich ist.
Sonstige Leistungen, wie z. B. Sach- und Geldleistungen werden im Rahmen der Altenhilfe nur gewährt, wenn das Einkommen des alten Menschen die Einkommensgrenze nach §§ 85 ff. Sozialgesetzbuch XII (Grundbetrag in Höhe des Zweifachen der Regelbedarfsstufe 1 + 70 % der Regelbedarfsstufe 1 für weitere Familienmitglieder + Kosten der Unterkunft in angemessenem Umfang) nicht überschreitet und kein ausreichendes Vermögen vorhanden ist."
Unterhaltssicherung für Wehrpflichtige,L100002.LB.19e75d18fd7c26d5839fe33c6e489734,['050000000000'],nicht angegeben
Grundsicherung im Alter und bei Erwerbsminderung,L100002.LB.53f51828800066184fef861d186639cf,['050000000000'],nicht angegeben
Schuldner- und Insolvenzberatung,L100108.LB.L100108_327302,['110000000000'],"Überschuldung bzw. Zahlungsunfähigkeit vorhanden oder drohtSie sind nicht mehr in der Lage, mit Einkommen und vorhandenem Vermögen die Lebenshaltungskosten zu decken sowie fällige Raten und Rechnungen zu bezahlen."
Pass für Geringverdienende,L100001.LB.8975275,['060000000000'],nicht angegeben
"Infektionsschutz, Entschädigung für Verdienstausfälle aufgrund von Quarantäne",L100009.LB.6002139,['140000000000'],"Verdienstausfall wegen einer Quarantäne nach Infektionsschutzgesetz (IfSG)
Eine Entschädigung kann nicht gezahlt werden:

für die Zeit einer Arbeitsunfähigkeit
für Auszubildende, die aus einem in ihrer Person liegenden Grund unverschuldet verhindert sind, ihre Pflichten aus dem Berufsausbildungsverhältnis zu erfüllen (gemäß § 19 Absatz 1 Ziffer 2 Buchstabe b BBiG)
wenn durch die Inanspruchnahme einer Schutzimpfung die Absonderung hätte vermieden werden können
wenn durch Nichtantritt einer vermeidbaren Reise in ein bereits zum Zeitpunkt der Abreise eingestuftes Risikogebiet eine Absonderung hätte vermieden werden können."
Hilfe in sonstigen Lebenslagen Bewilligung,L100040.LB.8668810,['030000000000'],nicht angegeben
Bildungspaket - Kostenerstattung für Schulbedarf für Schüler (Bezieher von Leistungen bei den Grundsicherungsstellen),S100002.LB.S1000020010000006167,['020000000000'],"Schüler unter 25 Jahren, die oder deren Eltern Bezieher von Leistungen nach dem Sozialgesetzbuch XII (Sozialhilfe, Grundsicherung) sind
Besuch einer allgemein- oder berufsbildenden Schule, auch Vorschule
kein Erhalt einer Ausbildungsvergütung"
"Infektionsschutz, Entschädigung für Verdienstausfälle aufgrund von Kinderbetreuung",L100009.LB.6001601,['140000000000'],"Die Kinderbetreuung in einer öffentlichen Einrichtung ist aus Infektionsschutzgründen nicht möglich.
Antragsberechtigte

Erwerbstätige mit Kindern bis 12 Jahre
Erwerbstätige mit Kindern, die behindert und hilfebedürftig sind

Weitere Voraussetzungen

Eine andere Betreuung (z. B. durch den anderen Elternteil oder die Notbetreuung in den Einrichtungen) ist nicht möglich.
Infrage kommende Betreuungspersonen gehören einer Risikogruppe an (insbesondere ältere und gesundheitlich vorbelastete Menschen).
Alle anderen Möglichkeiten, der Tätigkeit vorübergehend bezahlt fernzubleiben, sind ausgeschöpft z.B. durch Abbau von Zeitguthaben und Resturlaub (der Erholungsurlaub des laufenden Jahres muss nicht in Anspruch genommen werden).
Die Einrichtung ist nicht regulär geschlossen (z. B. während der Ferien)
Die oder der Erwerbstätige hatte keinen anderweitigen Anspruch auf Entgeltfortzahlung.


Hinweis: Ansprüche auf Kurzarbeitergeld haben Vorrang."
Leistungen zur Eingliederung von Selbständigen beantragen,B100019.LB.102713862,['000000000000'],"Um die Leistungen bekommen zu können, müssen folgende Voraussetzungen gegeben sein:  Sie beziehen Arbeitslosengeld II (Hartz IV). Sie wollen sich selbständig machen oder sind bereits selbständig tätig, das bedeutet  Sie arbeiten im eigenen Namen und auf eigene Rechnung und Sie tragen das wirtschaftliche Risiko ihrer Tätigkeit (Unternehmerrisiko).   Die Selbständigkeit muss Ihr Hauptberuf sein, das bedeutet  Sie arbeiten mindestens 15 Stunden pro Woche selbständig und Sie können innerhalb eines angemessenen Zeitraums Ihren Lebensunterhalt ganz oder zu einem erheblichen Teil mit Ihren erzielten Einnahmen bestreiten.   Sie müssen persönlich geeignet sein, eine selbständige Tätigkeit erfolgreich auszuüben. Dafür müssen Sie nachweisen, dass Sie über die Kenntnisse und Fähigkeiten verfügen, die Sie für die Selbständigkeit benötigen, zum Beispiel durch  Nachweise Ihrer fachlichen und unternehmerischen Qualifikation, Berufserfahrung oder die Teilnahme an Maßnahmen, die Sie auf die Existenzgründung vorbereiten.   Ihre selbständige Tätigkeit muss wirtschaftlich tragfähig sein, das bedeutet  Ihr Geschäftsmodell muss so ausgearbeitet und durchdacht sein, dass Ihre Existenzgründung langfristig erfolgreich sein kann Die Tragfähigkeit Ihrer selbständigen Tätigkeit ist durch eine fachkundige Stellungnahme zu belegen. Fachkundige Stellen können Kammern, Fachverbände oder Gründerinitiativen sein. Ihr Jobcenter benennt Ihnen die für Sie zuständige fachkundige Stelle in Ihrer Region. Üblicherweise müssen Sie dort detaillierte Unterlagen vorlegen (s. Punkt ""erforderliche Unterlagen"" oben).   Die Sachgüter, die Sie anschaffen möchten, müssen angemessen und notwendig für Ihre Arbeit sein. Andere Finanzierungsquellen scheiden aus, zum Beispiel spezielle Bundes- und Landesprogramme, lokale Wirtschaftsförderung oder Mikrokredite Die Förderung muss dem EU-Beihilferecht (De-minimis-Regelung) entsprechen."
Übernahme der Bestattungskosten beantragen / Bremerhaven,S100003.LB.S1000030002382421,['040120000000'],"Sie sind dazu verpflichtet, die Bestattungskosten zu tragen.
Weder der Nachlass der verstorbenen Person noch andere durch das Ableben zugeflossene Mittel, wie die Auszahlungen aus Versicherungen, decken die Bestattungskosten.
Sie können die Kosten nicht oder nicht vollständig aus eigenen Mitteln tragen oder die Übernahme der Bestattungskosten ist ihnen nicht oder nicht in voller Höhe zuzumuten.
Die Kosten für die Bestattung sind angemessen."
Sozialhilfe: Hilfe in anderen Lebenslagen - Altenhilfe (Wohnung/Heimplatz),L100012.LB.8936780,['010000000000'],nicht angegeben
Bildung und Teilhabe: Leistungen beantragen,L100002.LB.3bbb2e3b8753c5e29ff43698786aa337,['050000000000'],"Anspruch auf Leistungen haben Kinder, Jugendliche und junge Erwachsene bis zur Vollendung des 25. Lebensjahres, wenn die Eltern / Erziehungsberechtigten oder sie selbst (ab Vollendung des 18. Lebensjahres)eine der folgenden Leistungen beziehen: Bürgergeld oder Sozialgeld, Sozialhilfe oder Grundsicherung bei Erwerbsminderung, Wohngeld, Kinderzuschlag, Asylbewerberleistungen.Altersobergrenze für Leistungen zum Mitmachen in Kultur, Sport und Freizeit: Vollendung des 18. Lebensjahres."
Pass für Geringverdiener Erteilung,L100041.LB.101949007,['120000000000'],"Antragsberechtigt sind Sie in der Regel bei Bezug von  

Hilfe zum Lebensunterhalt oder Grundsicherung nach Sozialgesetzbuch XII
Arbeitslosengeld II oder Sozialgeld nach Sozialgesetzbuch II
Leistungen nach dem Asylbewerberleistungsgesetz
Leistungen nach dem Wohngeldgesetz

  weitere Voraussetzung:  

Sie haben Ihren Hauptwohnsitz in der Stadt oder Gemeinde, die den Pass für Geringverdiener ausstellt
Welche genauen Einkommensgrenzen gelten und welche weiteren Voraussetzungen Sie erfüllen müssen, erfahren Sie bei der zuständigen Stelle."
Leistungen nach dem Unterhaltssicherungsgesetz (USG) für freiwillig Wehrdienstleistende und wehrpflichtige Personen,L100012.LB.8968902,['010000000000'],nicht angegeben
Nahverkehrsticket Erwerb,L100039.LB.206507653,['070000000000'],nicht angegeben
"Nachweise für Leistungen aus der Förderung von bedürftigen Kindern, Jugendlichen und jungen Erwachsenen zur Teilnahme an Bildungsangeboten",S100002.LB.S1000020010000012418,['020000000000'],"Antragsberechtigt sind Kinder und Jugendliche bis 25 Jahren,
	
die ihre Bildungs- und Teilhabebedarfe nicht aus eigenem Einkommen und Vermögen oder eigenem Einkommen und Vermögen der Familie decken können und die deshalb einen Anspruch haben auf 
		
Leistungen der Grundsicherung für Arbeitsuchende oder 
Sozialhilfe
Leistungen nach dem Asylbewerberleistungsgesetz 


oder deren Familien folgende Leistungen beziehen:
		
Kinderzuschlag oder
Wohngeld




Altersobergrenze für Leistungen zum Mitmachen in Kultur, Sport und Freizeit: 18 Jahre"
Sozialhilfe beantragen,L100012.LB.8936460,['010000000000'],nicht angegeben
Entschädigung bei Absonderung oder Tätigkeitsverbot beantragen,L100022.LB.6002813,['080000000000'],"Verdienstausfall wegen eines Tätigkeitsverbotes beziehungsweise einer Absonderung nach Infektionsschutzgesetz (IfSG)

Eine Entschädigung kann nicht gezahlt werden:

für die Zeit einer Krankschreibung oder Krankmeldung
für Auszubildende, die aus einem in ihrer Person liegenden Grund unverschuldet verhindert sind, ihre Pflichten aus dem Berufsausbildungsverhältnis zu erfüllen (gemäß § 19 Absatz 1 Ziffer 2 Buchstabe b BBiG)
bei fehlender Tarifregelung: für eine relativ unerhebliche Zeit des Tätigkeitsverbotes (nach § 616 BGB)
bei anderweitigem, entlohntem Einsatz im Betrieb
wenn die Möglichkeit bestand, den Verdienstausfall durch eine andere zumutbare Tätigkeit auszugleichen, z. B. im Homeoffice
bei vertraglichen oder tarifrechtlichen Verpflichtungen des Arbeitgebers zur Lohnfortzahlung"
Grundsicherung im Alter und bei dauerhafter Erwerbsminderung,S100003.LB.S1000030000091317,['040110000000'],"Erreichen des Rentenalters (Beginn des Rentenalters zwischen 65 und 67 Jahren ausgehend vom Geburtsjahrgang) oder
wenn eine unbefristete volle Erwerbsminderung vorliegt, die durch den Rententräger festgestellt wurde und Sie Volljährig (Vollendung des 18. Lebensjahres) sind und ihr Einkommen und Vermögen nicht ausreicht, um Ihren Lebensunterhalt zu sichern."
Insolvenzgeld beantragen,L100009.LB.6000032,['140000000000'],"Voraussetzung für einen Anspruch auf Insolvenzgeld ist das Vorliegen eines Insolvenzereignisses. Dies ist der Zeitpunkt, an dem

das Insolvenzverfahren über das Vermögen des Arbeitgebers eröffnet wird oder
der Antrag auf Eröffnung des Insolvenzverfahrens mangels Masse abgewiesen wird oder
die Betriebstätigkeit im Inland vollständig beendet wird, wenn bis zu diesem Zeitpunkt ein Antrag auf Eröffnung des Insolvenzverfahrens noch nicht gestellt worden ist und ein Insolvenzverfahren mangels Masse nicht in Betracht kommt.

Auch ausländische Insolvenzereignisse können einen Anspruch auf Insolvenzgeld begründen.

Hinweis: Anspruch auf Insolvenzgeld haben nur Arbeitnehmer, die im Inland beschäftigt waren. Dazu gehören auch Arbeitnehmer, die unter Weitergeltung des deutschen Sozialversicherungsrechts vorübergehend ins Ausland entsandt waren. Ein Anspruch auf Insolvenzgeld besteht auch für Heimarbeiter, beschäftigte Studenten und Schüler, Auszubildende sowie geringfügig Beschäftigte.

Das Bestehen eines sozialversicherungspflichtigen Beschäftigungsverhältnisses ist nicht erforderlich."
"Sozialhilfe, Hilfe zum Lebensunterhalt bei nicht dauerhafter Erwerbsminderung",S100002.LB.S1000020010000001919,['020000000000'],nicht angegeben
"Kiel Pass, Ermäßigungsausweis",L100012.LB.10320928,['010020000000'],nicht angegeben
Schuldner und Insolvenzberatung,S100002.LB.S1000020010000012076,['020000000000'],"Die Beratungskosten werden übernommen für Personen, die

laufende existenzsichernde Leistungen nach SGB XII, § 2 AsylbLG, dem Bundesversorgungsgesetz oder den Anwendungsgesetzen beziehen,
nach dem Sozialgesetzbuch II (Grundsicherung für Arbeitsuchende) leistungsberechtigt sind,
ausschließlich Eingliederungshilfe nach §§ 53ff. SGB XII, Hilfe zur Pflege nach §§ 61ff. SGB XII oder Hilfe zur Überwindung besonderer sozialer Schwierigkeiten nach §§ 67ff. SGB XII erhalten,
bei denen jedoch aufgrund ihrer Schuldensituation die Inanspruchnahme von Leistungen zum Lebensunterhalt droht.


Wer über ausreichend eigene Mittel verfügt, muss sich angemessen an den Beratungskosten beteiligen oder bezahlt die Schuldnerberatung vollständig selbst.

Die Übernahme der Kosten hängt von der Höhe des Netto-Haushalts-Einkommens ab. Die Einkommensgrenzen sind dabei gestaffelt, so dass ab einer bestimmten Einkommenshöhe ein Eigenanteil von 180 Euro an die Beratungsstelle zu zahlen ist. Die restlichen Kosten übernimmt dann das zuständige Grundsicherungs- und Sozialamt beziehungsweise Jobcenter team.arbeit.hamburg.

Die offene Kurz- und Notfallberatung kann von allen Ratsuchenden (unabhängig von der Zielgruppe) kostenlos in Anspruch genommen werden"
